Project Name,Package Name,Type Name,Method Name,Code Smell
java,org.apache.commons.math3.analysis,FunctionUtils,toUnivariateDifferential,Missing default
java,org.apache.commons.math3.analysis,FunctionUtils,value,Missing default
java,org.apache.commons.math3.analysis,FunctionUtils,toMultivariateDifferentiableFunction,Complex Method
java,org.apache.commons.math3.analysis,FunctionUtils,toMultivariateDifferentiableFunction,Long Statement
java,org.apache.commons.math3.analysis,FunctionUtils,value,Complex Method
java,org.apache.commons.math3.analysis,FunctionUtils,toMultivariateDifferentiableVectorFunction,Complex Method
java,org.apache.commons.math3.analysis,FunctionUtils,toMultivariateDifferentiableVectorFunction,Long Statement
java,org.apache.commons.math3.analysis,FunctionUtils,value,Complex Method
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,DerivativeStructure,Long Parameter List
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,DerivativeStructure,Long Parameter List
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,copySign,Complex Conditional
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,copySign,Complex Conditional
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,hypot,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,hypot,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,hypot,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,sqrt,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,cbrt,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,linearCombination,Long Parameter List
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,linearCombination,Long Statement
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,linearCombination,Long Parameter List
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,linearCombination,Long Parameter List
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,linearCombination,Long Statement
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,linearCombination,Long Parameter List
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,linearCombination,Long Statement
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,equals,Long Statement
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,hashCode,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,hashCode,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,hashCode,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DerivativeStructure,hashCode,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,DSCompiler,Long Statement
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,DSCompiler,Long Statement
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,getCompiler,Complex Conditional
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,getCompiler,Long Statement
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,compileMultiplicationIndirection,Complex Method
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,compileMultiplicationIndirection,Long Parameter List
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,compileMultiplicationIndirection,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,compileMultiplicationIndirection,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,compileMultiplicationIndirection,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,compileMultiplicationIndirection,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,compileMultiplicationIndirection,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,compileCompositionIndirection,Complex Method
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,compileCompositionIndirection,Long Parameter List
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,compileCompositionIndirection,Magic Number
java,org.apache.commons.math3.analysis.differentiation,DSCompiler,compileCompositionIndirection,Magic Number
